name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,user_score,developer,rating,sales_category,game_age,game_age_category
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,activision,0.68,0.15,0.00,0.08,0.9,7.3,Vicarious Visions,T,low,17,old
Burnout Revenge,PS2,2005,Racing,electronic arts,0.75,0.03,0.00,0.12,0.9,8.8,Criterion Games,E10+,low,21,old
Crysis 3,X360,2013,Shooter,electronic arts,0.51,0.31,0.01,0.08,0.9,6.7,Crytek,M,low,13,recent
Far Cry 4,X360,2014,Shooter,ubisoft,0.45,0.37,0.00,0.08,0.9,7.0,Ubisoft Montreal,M,low,12,recent
The Witcher 2: Assassins of Kings,X360,2012,Action,namco bandai games,0.48,0.32,0.02,0.08,0.9,8.3,CD Projekt Red Studio,M,low,14,recent
Homefront,PS3,2011,Shooter,thq,0.32,0.39,0.04,0.15,0.9,5.7,Kaos Studios,M,low,15,old
Destruction Derby,PS,1995,Racing,psygnosis,0.50,0.34,0.00,0.06,0.9,7.5,unknown,E,low,31,old
LEGO Jurassic World,PS4,2015,Action,warner bros  interactive entertainment,0.32,0.42,0.02,0.14,0.9,7.0,TT Games,E10+,low,11,recent
Avatar: The Game,PS3,2009,Action,ubisoft,0.32,0.42,0.00,0.16,0.9,7.5,unknown,E,low,17,old
The Elder Scrolls Online,PC,2014,Role-Playing,bethesda softworks,0.32,0.51,0.00,0.07,0.9,5.7,ZeniMax Media,M,low,12,recent
3Xtreme,PS,1999,Action,989 studios,0.50,0.34,0.00,0.06,0.9,7.5,unknown,E,low,27,old
Hot Shots Tennis,PS2,2006,Sports,sony computer entertainment,0.17,0.13,0.55,0.05,0.9,8.1,Clap Hanz,E,low,20,old
MX vs. ATV Reflex,PS3,2009,Racing,thq,0.52,0.25,0.00,0.12,0.9,7.4,Rainbow Studios,E,low,17,old
Madden NFL 25,PS4,2013,Sports,electronic arts,0.63,0.13,0.00,0.15,0.9,5.2,EA Sports,E,low,13,recent
Sonic Heroes,XB,2003,Platform,sega,0.41,0.43,0.01,0.05,0.9,7.6,Sonic Team,E,low,23,old
Madden NFL 99,N64,1998,Sports,electronic arts,0.84,0.05,0.00,0.01,0.9,7.5,unknown,E,low,28,old
Spider-Man 3,PS2,2007,Platform,activision,0.74,0.03,0.01,0.12,0.9,6.5,Vicarious Visions,T,low,19,old
James Bond 007: Agent Under Fire,XB,2002,Shooter,electronic arts,0.65,0.22,0.00,0.03,0.9,7.5,Electronic Arts,T,low,24,old
LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,disney interactive studios,0.34,0.46,0.00,0.10,0.9,7.5,Traveller's Tales,E10+,low,15,old
LEGO Marvel Super Heroes,3DS,2013,Action,warner bros  interactive entertainment,0.42,0.36,0.04,0.07,0.9,5.2,TT Games,E10+,low,13,recent
DJ Hero,PS3,2009,Misc,activision,0.42,0.34,0.00,0.14,0.9,7.8,FreeStyleGames,T,low,17,old
Skylanders: Trap Team,X360,2014,Action,activision,0.54,0.27,0.00,0.08,0.9,7.5,Toys for Bob,E10+,low,12,recent
X-Men Legends,XB,2004,Role-Playing,activision,0.62,0.24,0.00,0.04,0.9,8.5,Raven Software,T,low,22,old
NBA Live 2005,XB,2004,Sports,electronic arts,0.81,0.05,0.00,0.04,0.9,7.6,EA Canada,E,low,22,old
Harry Potter: Quidditch World Cup,PS2,2003,Sports,electronic arts,0.44,0.34,0.00,0.11,0.9,6.6,Magic Pockets,E,low,23,old
LEGO The Lord of the Rings,Wii,2012,Action,warner bros  interactive entertainment,0.48,0.34,0.00,0.07,0.9,7.2,TT Games,E10+,low,14,recent
Madagascar,GBA,2005,Platform,activision,0.62,0.24,0.00,0.03,0.89,7.5,Vicarious Visions,E,low,21,old
Blitz: The League,PS2,2005,Sports,unknown,0.74,0.03,0.00,0.12,0.89,8.0,Midway,M,low,21,old
The Biggest Loser: Ultimate Workout,X360,2010,Sports,thq,0.73,0.10,0.00,0.06,0.89,7.5,Blitz Games Studios,E,low,16,old
Castlevania: Circle of the Moon,GBA,2001,Platform,konami digital entertainment,0.60,0.22,0.05,0.02,0.89,8.5,KCEK,T,low,25,old
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,sony computer entertainment,0.66,0.11,0.04,0.08,0.89,6.3,Zipper Interactive,M,low,15,old
Tiger Woods PGA Tour 06,PS2,2005,Sports,electronic arts,0.74,0.03,0.00,0.12,0.89,6.2,EA Sports,E,low,21,old
FIFA Street,X360,2012,Sports,electronic arts,0.17,0.62,0.00,0.10,0.89,6.7,EA Sports,E,low,14,recent
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,nintendo,0.46,0.17,0.24,0.02,0.89,8.6,Nintendo,E,low,22,old
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,nintendo,0.42,0.16,0.30,0.02,0.89,9.1,Intelligent Systems,E,low,22,old
Cars 2,Wii,2011,Racing,disney interactive studios,0.43,0.37,0.00,0.09,0.89,7.5,unknown,E,low,15,old
TouchMaster 2,DS,2008,Puzzle,midway games,0.30,0.49,0.00,0.10,0.89,7.5,Midway Studios - San Diego,E,low,18,old
Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,nintendo,0.00,0.00,0.89,0.00,0.89,7.5,unknown,E,low,25,old
MLB 16: The Show,PS4,2016,Action,sony computer entertainment,0.72,0.00,0.00,0.17,0.89,7.5,unknown,E,low,10,recent
Killzone: Liberation,PSP,2006,Shooter,sony computer entertainment,0.44,0.27,0.00,0.18,0.89,8.3,Guerrilla,T,low,20,old
Finding Nemo,GC,2003,Action,thq,0.69,0.18,0.00,0.02,0.89,5.5,Traveller's Tales,E,low,23,old
Lego Batman 3: Beyond Gotham,X360,2014,Action,warner bros  interactive entertainment,0.48,0.33,0.00,0.08,0.89,6.8,TT Games,E10+,low,12,recent
Ace Combat 2,PS,1997,Simulation,sony computer entertainment,0.16,0.11,0.56,0.06,0.89,8.2,Namco,T,low,29,old
NFL 2K2,PS2,2001,Sports,sega,0.44,0.34,0.00,0.11,0.89,7.5,Visual Concepts,E,low,25,old
Pure,PS3,2008,Racing,disney interactive studios,0.42,0.33,0.00,0.14,0.89,7.8,Black Rock Studio,E,low,18,old
We Ski & Snowboard,Wii,2008,Sports,atari,0.38,0.29,0.15,0.08,0.89,7.5,unknown,E,low,18,old
Resistance: Retribution,PSP,2009,Shooter,sony computer entertainment,0.27,0.35,0.05,0.21,0.89,8.1,Sony Bend,M,low,17,old
Call of Duty: World at War,DS,2008,Shooter,activision,0.56,0.25,0.00,0.08,0.89,7.8,n-Space,T,low,18,old
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,electronic arts,0.52,0.25,0.00,0.11,0.89,7.3,Electronic Arts,E,low,15,old
CSI: Hard Evidence,Wii,2008,Adventure,ubisoft,0.36,0.43,0.00,0.10,0.89,7.5,unknown,E,low,18,old
MLB 2001,PS,2000,Sports,sony computer entertainment,0.49,0.34,0.00,0.06,0.89,7.5,unknown,E,low,26,old
The Jak and Daxter Collection,PS3,2012,Platform,sony computer entertainment,0.60,0.18,0.00,0.11,0.89,7.5,unknown,E,low,14,recent
FIFA Soccer 09 All-Play,Wii,2008,Sports,electronic arts,0.28,0.51,0.00,0.09,0.89,8.4,EA Canada,E,low,18,old
SingStar Anthems,PS2,2006,Misc,sony computer entertainment,0.00,0.68,0.00,0.20,0.89,7.5,unknown,E,low,20,old
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,activision,0.47,0.29,0.00,0.13,0.89,7.1,Traveller's Tales,E10+,low,17,old
Seiken Densetsu 3,SNES,1995,Role-Playing,squaresoft,0.00,0.00,0.89,0.00,0.89,7.5,unknown,E,low,31,old
Fossil Fighters,DS,2008,Role-Playing,nintendo,0.83,0.00,0.00,0.06,0.89,7.9,RED Entertainment,E,low,18,old
Buzz! Quiz TV,PS3,2008,Misc,sony computer entertainment,0.28,0.47,0.00,0.13,0.89,7.5,unknown,E,low,18,old
NCAA Football 13,PS3,2012,Action,electronic arts,0.82,0.00,0.00,0.07,0.89,4.1,EA Tiburon,E,low,14,recent
Samba De Amigo,Wii,2008,Misc,sega,0.41,0.37,0.01,0.09,0.88,8.1,Gearbox Software,E,low,18,old
Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,capcom,0.44,0.30,0.09,0.06,0.88,7.5,unknown,E,low,30,old
The Simpsons Game,PS3,2007,Action,electronic arts,0.38,0.36,0.00,0.15,0.88,7.5,EA Redwood Shores,T,low,19,old
Call of Duty: Modern Warfare 2,PC,2009,Shooter,activision,0.01,0.79,0.00,0.09,0.88,4.2,Infinity Ward,M,low,17,old
The Tomb Raider Trilogy,PS3,2011,Action,square enix,0.27,0.46,0.00,0.15,0.88,8.1,Crystal Dynamics,T,low,15,old
F1 2010,X360,2010,Racing,codemasters,0.18,0.59,0.01,0.10,0.88,7.5,Codemasters Birmingham,E,low,16,old
Call of Juarez: Bound in Blood,PS3,2009,Shooter,ubisoft,0.35,0.37,0.01,0.15,0.88,7.8,Techland,M,low,17,old
Minecraft: Story Mode,X360,2015,Adventure,mojang,0.48,0.33,0.00,0.08,0.88,7.5,unknown,E,low,11,recent
Rhythm Heaven,Wii,2007,Misc,unknown,0.11,0.00,0.77,0.01,0.88,7.5,unknown,E,low,19,old
NBA 2K6,PS2,2005,Action,take two interactive,0.43,0.34,0.00,0.11,0.88,8.3,Visual Concepts,E,low,21,old
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,square enix,0.21,0.12,0.46,0.08,0.88,8.3,Square Enix,T,low,15,old
Buzz! The Mega Quiz,PS2,2007,Misc,sony computer entertainment,0.32,0.06,0.00,0.50,0.88,7.5,unknown,E,low,19,old
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996,Shooter,cto spa,0.49,0.33,0.00,0.06,0.88,7.5,unknown,E,low,30,old
Monster 4X4: World Circuit,Wii,2006,Racing,ubisoft,0.80,0.00,0.01,0.07,0.88,7.8,Ubisoft,E,low,20,old
Far Cry: Primal,XOne,2016,Action,ubisoft,0.47,0.33,0.00,0.08,0.88,6.4,Ubisoft Montreal,M,low,10,recent
Resident Evil: Revelations,3DS,2012,Action,capcom,0.30,0.22,0.30,0.05,0.88,8.5,Capcom,M,low,14,recent
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,sega,0.50,0.29,0.01,0.08,0.88,7.3,BioWare,E,low,18,old
Star Wars: The Force Unleashed,DS,2008,Action,lucasarts,0.50,0.28,0.00,0.09,0.88,5.5,n-Space,T,low,18,old
Grand Theft Auto IV,PC,2008,Action,take two interactive,0.01,0.79,0.00,0.07,0.88,6.6,Rockstar Toronto,M,low,18,old
Rock Band 3,X360,2010,Misc,mtv games,0.73,0.09,0.00,0.06,0.88,8.2,Harmonix Music Systems,T,low,16,old
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,thq,0.44,0.35,0.00,0.08,0.88,7.6,Yuke's,T,low,16,old
ESPN NHL 2K5,PS2,2004,Sports,global star,0.43,0.33,0.00,0.11,0.88,8.1,Kush Games,E,low,22,old
Borderlands: The Handsome Collection,PS4,2015,Shooter,take two interactive,0.38,0.33,0.03,0.14,0.88,7.8,Gearbox Software,M,low,11,recent
Crimson Skies: High Road to Revenge,XB,2003,Simulation,microsoft game studios,0.65,0.19,0.00,0.03,0.87,8.8,FASA Studio,T,low,23,old
Madden NFL 08,Wii,2007,Sports,electronic arts,0.80,0.00,0.00,0.07,0.87,6.8,EA Tiburon,E,low,19,old
Spec Ops: Ranger Elite,PS,2001,Shooter,talonsoft,0.49,0.33,0.00,0.06,0.87,6.6,Runecraft,T,low,25,old
Gex,PS,1995,Platform,crystal dynamics,0.49,0.33,0.00,0.06,0.87,7.5,unknown,E,low,31,old
F1 2009,Wii,2009,Racing,codemasters,0.15,0.62,0.00,0.11,0.87,7.2,Sumo Digital,E,low,17,old
Derby Stallion II,SNES,1994,Sports,ascii entertainment,0.00,0.00,0.87,0.00,0.87,7.5,unknown,E,low,32,old
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,ubisoft,0.61,0.24,0.00,0.03,0.87,8.8,Red Storm Entertainment,M,low,23,old
Sleeping Dogs,X360,2012,Action,square enix,0.38,0.40,0.01,0.08,0.87,7.9,United Front Games,M,low,14,recent
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,electronic arts,0.55,0.24,0.01,0.07,0.87,7.7,Big Huge Games,M,low,14,recent
Metal Gear Ac!d,PSP,2004,Strategy,konami digital entertainment,0.32,0.26,0.12,0.17,0.87,7.5,unknown,E,low,22,old
Need for Speed: V-Rally,PS,1997,Racing,infogrames,0.43,0.29,0.09,0.06,0.87,7.5,unknown,E,low,29,old
Monster Strike 3DS,3DS,2015,Action,mixi  inc,0.00,0.00,0.87,0.00,0.87,7.5,unknown,E,low,11,recent
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,square enix,0.73,0.03,0.00,0.12,0.87,7.2,Jupiter Corporation,E10+,low,18,old
Phantasy Star Portable 2,PSP,2009,Role-Playing,sega,0.08,0.11,0.62,0.06,0.87,8.1,Alfa System,T,low,17,old
Peppa Pig: The Game,DS,2008,Misc,pinnacle,0.00,0.81,0.00,0.06,0.87,7.5,unknown,E,low,18,old
Michael Jackson: The Experience,X360,2011,Misc,ubisoft,0.62,0.18,0.00,0.07,0.87,6.8,Ubisoft Montreal,E10+,low,15,old
NFL GameDay '97,PS,1996,Sports,sony computer entertainment,0.48,0.33,0.00,0.06,0.87,7.5,unknown,E,low,30,old
LittleBigPlanet Karting,PS3,2012,Action,sony computer entertainment,0.42,0.30,0.01,0.15,0.87,6.9,"Media Molecule, United Front Games",E,low,14,recent
Tony Hawk's Project 8,PS2,2006,Sports,activision,0.72,0.03,0.00,0.12,0.87,7.3,Shaba Games,T,low,20,old
NHL 2000,PS,1998,Sports,electronic arts,0.48,0.33,0.00,0.06,0.87,7.5,unknown,E,low,28,old
GRID,X360,2008,Racing,codemasters,0.33,0.44,0.01,0.09,0.87,7.9,Codemasters,E,low,18,old
DiRT,X360,2007,Racing,codemasters,0.38,0.40,0.00,0.09,0.87,7.4,Codemasters,E,low,19,old
Buzz! Master Quiz,PSP,2008,Misc,sony computer entertainment,0.20,0.44,0.00,0.23,0.87,7.5,unknown,E,low,18,old
Red Faction: Guerrilla,X360,2009,Shooter,thq,0.48,0.29,0.01,0.09,0.87,8.1,Volition Inc.,M,low,17,old
Fight Night Round 2,PS2,2005,Fighting,electronic arts,0.72,0.03,0.00,0.12,0.87,9.0,EA Sports,T,low,21,old
Conflict: Desert Storm,XB,2002,Shooter,sci,0.48,0.37,0.00,0.02,0.87,8.1,SCi,T,low,24,old
LEGO Jurassic World,X360,2015,Action,warner bros  interactive entertainment,0.47,0.32,0.00,0.08,0.87,7.1,TT Games,E10+,low,11,recent
Triple Play 2002,PS2,2002,Sports,electronic arts,0.43,0.33,0.00,0.11,0.87,7.5,Pandemic Studios,E,low,24,old
Cooking Mama: World Kitchen,Wii,2008,Simulation,505 games,0.51,0.27,0.01,0.08,0.87,4.9,Cooking Mama Limited,E,low,18,old
Brothers in Arms: Hell's Highway,X360,2008,Shooter,ubisoft,0.47,0.30,0.00,0.09,0.87,8.3,Gearbox Software,M,low,18,old
Vagrant Story,PS,2000,Role-Playing,crave entertainment,0.30,0.20,0.30,0.06,0.87,8.3,SquareSoft,T,low,26,old
Warriors Orochi,PS2,2007,Action,tecmo koei,0.11,0.09,0.64,0.03,0.87,8.2,Omega Force,T,low,19,old
Enduro,2600,1982,Misc,quelle,0.81,0.05,0.00,0.01,0.87,7.5,unknown,E,low,44,old
Crysis 3,PS3,2013,Shooter,electronic arts,0.26,0.42,0.03,0.16,0.87,6.3,Crytek,M,low,13,recent
Mercenaries 2: World in Flames,PS3,2008,Shooter,electronic arts,0.29,0.39,0.02,0.16,0.87,7.1,Pandemic Studios,T,low,18,old
SingStar '90s,PS2,2007,Misc,sony computer entertainment,0.10,0.59,0.00,0.18,0.87,7.5,SCEE,T,low,19,old
Wizards of Waverly Place,DS,2009,Misc,disney interactive studios,0.59,0.20,0.00,0.08,0.86,7.5,Disney Interactive Studios,E,low,17,old
Ghostbusters: The Video Game,Wii,2009,Action,atari,0.59,0.20,0.00,0.07,0.86,8.5,Red Fly Studio,E10+,low,17,old
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,square enix,0.00,0.00,0.86,0.00,0.86,7.5,Cygames,T,low,11,recent
Beijing 2008,PS3,2008,Sports,sega,0.14,0.54,0.01,0.18,0.86,7.5,unknown,E,low,18,old
Guitar Hero Live,PS4,2015,Misc,activision,0.34,0.38,0.00,0.14,0.86,6.2,FreeStyleGames,T,low,11,recent
Endless Ocean: Blue World,Wii,2009,Simulation,nintendo,0.46,0.21,0.12,0.06,0.86,8.5,Arika,E10+,low,17,old
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,konami digital entertainment,0.01,0.72,0.12,0.01,0.86,8.3,KCET,E,low,20,old
Rocky,PS2,2002,Fighting,rage software,0.42,0.33,0.00,0.11,0.86,8.4,Rage Software,T,low,24,old
Ford Racing,PS,2001,Racing,empire interactive,0.48,0.33,0.00,0.06,0.86,5.8,Toolbox Design,E,low,25,old
Madden Football 64,N64,1997,Sports,electronic arts,0.81,0.04,0.00,0.01,0.86,7.5,unknown,E,low,29,old
Guitar Hero: Warriors of Rock,X360,2010,Misc,activision,0.47,0.31,0.00,0.08,0.86,6.5,Neversoft Entertainment,T,low,16,old
MLB 99,PS,1998,Sports,sony computer entertainment,0.48,0.32,0.00,0.06,0.86,7.5,unknown,E,low,28,old
Lemmings,PSP,2006,Puzzle,sony computer entertainment,0.12,0.51,0.00,0.23,0.86,7.9,Team 17,E,low,20,old
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,tecmo koei,0.17,0.13,0.51,0.04,0.86,9.1,Omega Force,T,low,23,old
Pictionary,Wii,2010,Puzzle,thq,0.60,0.19,0.00,0.07,0.85,7.5,Page 44 Studios,E,low,16,old
Army Men: Air Attack,PS,1999,Action,3do,0.47,0.32,0.00,0.06,0.85,7.5,unknown,E,low,27,old
FIFA Soccer 08,DS,2007,Sports,electronic arts,0.10,0.65,0.00,0.11,0.85,7.5,unknown,E,low,19,old
2010 FIFA World Cup South Africa,X360,2010,Sports,electronic arts,0.32,0.42,0.02,0.09,0.85,8.1,Electronic Arts,E,low,16,old
Tomb Raider: Anniversary,Wii,2007,Action,eidos interactive,0.12,0.62,0.00,0.11,0.85,7.3,Crystal Dynamics,T,low,19,old
NBA 2K8,X360,2007,Sports,take two interactive,0.79,0.00,0.00,0.07,0.85,7.0,Visual Concepts,E,low,19,old
Street Fighter Alpha 2,PS,1996,Fighting,virgin interactive,0.14,0.09,0.57,0.06,0.85,7.5,unknown,E,low,30,old
Tiger Woods PGA Tour 2005,XB,2004,Sports,electronic arts,0.64,0.18,0.00,0.03,0.85,8.9,EA Sports,E,low,22,old
Castlevania III: Dracula's Curse,NES,1989,Platform,konami digital entertainment,0.40,0.07,0.37,0.01,0.85,7.5,unknown,E,low,37,old
LEGO Jurassic World,PS3,2015,Action,warner bros  interactive entertainment,0.35,0.36,0.00,0.14,0.85,7.4,TT Games,E10+,low,11,recent
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,electronic arts,0.37,0.29,0.09,0.11,0.85,7.6,Big Huge Games,M,low,14,recent
Rampage World Tour,PS,1997,Action,gt interactive,0.47,0.32,0.00,0.06,0.85,7.5,unknown,E,low,29,old
Dragon Ball Z: Burst Limit,PS3,2008,Fighting,atari,0.22,0.33,0.18,0.12,0.85,7.2,"Dimps Corporation, Namco Bandai Games",T,low,18,old
Gold's Gym: Dance Workout,Wii,2010,Sports,ubisoft,0.69,0.10,0.00,0.06,0.85,7.5,Land Ho!,E10+,low,16,old
Tekken Tag Tournament 2,PS3,2012,Fighting,namco bandai games,0.28,0.31,0.13,0.13,0.85,8.2,Namco Bandai Games,T,low,14,recent
Ninja Gaiden Sigma 2,PS3,2009,Action,ubisoft annecy,0.52,0.16,0.08,0.10,0.85,7.7,Team Ninja,M,low,17,old
Ratatouille,PS2,2007,Action,thq,0.31,0.00,0.00,0.53,0.85,8.0,Asobo Studio,E,low,19,old
NFL GameDay,PS,1995,Sports,sony computer entertainment,0.47,0.32,0.00,0.06,0.85,7.5,unknown,E,low,31,old
Burnout 2: Point of Impact,PS2,2002,Racing,acclaim entertainment,0.42,0.32,0.00,0.11,0.85,8.2,Criterion Games,E,low,24,old
Wii Fit U,WiiU,2013,Sports,nintendo,0.35,0.23,0.21,0.05,0.85,7.7,Nintendo,E,low,13,recent
Street Fighter EX3,PS2,2000,Fighting,virgin interactive,0.32,0.25,0.20,0.08,0.85,7.9,Arika,T,low,26,old
The Legendary Starfy,DS,2008,Platform,nintendo,0.60,0.00,0.20,0.05,0.85,8.4,TOSE,E,low,18,old
NCAA Football 11,PS3,2010,Sports,electronic arts,0.79,0.00,0.00,0.06,0.85,7.4,EA Tiburon,E,low,16,old
The House of the Dead: Overkill,Wii,2009,Shooter,sega,0.44,0.30,0.02,0.09,0.85,8.7,Headstrong Games,M,low,17,old
Army of Two: The 40th Day,PS3,2010,Shooter,electronic arts,0.44,0.27,0.01,0.12,0.85,7.0,EA Montreal,M,low,16,old
Darksiders II,PS3,2012,Action,thq,0.35,0.35,0.01,0.14,0.84,7.1,Vigil Games,M,low,14,recent
Spider-Man 2,GC,2004,Action,activision,0.65,0.17,0.00,0.02,0.84,8.8,Treyarch,T,low,22,old
The Lord of the Rings: War in the North,X360,2007,Action,warner bros  interactive entertainment,0.52,0.24,0.00,0.08,0.84,7.4,Snowblind Studios,M,low,19,old
 Tales of Xillia 2,PS3,2012,Role-Playing,namco bandai games,0.20,0.12,0.45,0.07,0.84,7.9,Bandai Namco Games,T,low,14,recent
Ghostbusters: The Video Game,PS3,2009,Action,sony computer entertainment,0.34,0.36,0.00,0.14,0.84,7.9,Terminal Reality,T,low,17,old
The Incredibles,GC,2004,Action,thq,0.65,0.17,0.00,0.02,0.84,7.1,Heavy Iron Studios,T,low,22,old
Xenoblade Chronicles X,WiiU,2015,Role-Playing,nintendo,0.36,0.28,0.14,0.06,0.84,8.9,Monolith Soft,T,low,11,recent
NBA 2K10,PS3,2009,Sports,take two interactive,0.75,0.01,0.01,0.07,0.84,7.8,Visual Concepts,E,low,17,old
Petz Dogz Fashion,DS,2008,Simulation,ubisoft,0.46,0.30,0.00,0.09,0.84,7.5,Ubisoft,E,low,18,old
ATV Quad Power Racing 2,PS2,2003,Racing,acclaim entertainment,0.41,0.32,0.00,0.11,0.84,7.5,Acclaim,E,low,23,old
Final Fantasy,NES,1987,Role-Playing,squaresoft,0.32,0.00,0.52,0.00,0.84,7.5,unknown,E,low,39,old
Skate 2,PS3,2009,Sports,electronic arts,0.46,0.25,0.01,0.12,0.84,7.8,EA Black Box,T,low,17,old
Rocket Power: Team Rocket Rescue,PS,2001,Sports,thq,0.47,0.32,0.00,0.05,0.84,7.5,unknown,E,low,25,old
Big Mutha Truckers,PS2,2002,Racing,empire interactive,0.41,0.32,0.00,0.11,0.84,5.3,Eutechnyx,T,low,24,old
The Evil Within,PS3,2014,Action,bethesda softworks,0.26,0.34,0.13,0.12,0.84,7.6,Tango Gameworks,M,low,12,recent
Rogue Galaxy,PS2,2005,Role-Playing,sony computer entertainment,0.24,0.16,0.39,0.05,0.84,8.4,Level 5,T,low,21,old
ESPN College Hoops 2K5,PS2,2004,Sports,sega,0.41,0.32,0.00,0.11,0.84,8.1,Visual Concepts,E,low,22,old
NCAA Football 14,PS3,2013,Sports,electronic arts,0.75,0.00,0.00,0.09,0.84,6.2,EA Tiburon,E,low,13,recent
Harry Potter and the Order of the Phoenix,DS,2007,Action,electronic arts,0.28,0.46,0.00,0.10,0.84,4.9,Visual Impact,E,low,19,old
Sniper Elite V2,X360,2012,Shooter,505 games,0.46,0.28,0.02,0.07,0.84,6.8,Rebellion,M,low,14,recent
Metroid: Zero Mission,GBA,2004,Adventure,nintendo,0.60,0.22,0.00,0.01,0.84,9.0,Nintendo,E,low,22,old
Ben 10: Protector of Earth,PS2,2007,Action,d3publisher,0.09,0.00,0.00,0.74,0.84,7.6,High Voltage Software,E10+,low,19,old
Burnout Legends,PSP,2005,Racing,electronic arts,0.70,0.05,0.00,0.08,0.84,8.4,Criterion Games,E10+,low,21,old
Q*bert,PS,1999,Puzzle,atari,0.46,0.32,0.00,0.05,0.84,7.5,unknown,E,low,27,old
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,ubisoft,0.74,0.04,0.00,0.06,0.83,6.7,Ubisoft,T,low,19,old
Madden NFL 09 All-Play,Wii,2008,Sports,electronic arts,0.76,0.01,0.00,0.06,0.83,7.2,EA Tiburon,E,low,18,old
Ace Combat 3: Electrosphere,PS,1999,Simulation,sony computer entertainment,0.22,0.15,0.40,0.05,0.83,7.5,unknown,E,low,27,old
Dynasty Warriors 2,PS2,2000,Action,thq,0.24,0.19,0.34,0.06,0.83,8.8,Omega Force,T,low,26,old
Madden NFL 07,PSP,2007,Sports,unknown,0.77,0.03,0.00,0.04,0.83,6.6,EA Tiburon,E,low,19,old
Time Crisis 4,PS3,2007,Shooter,namco bandai games,0.32,0.32,0.05,0.14,0.83,7.4,Nex Entertainment,T,low,19,old
Duke Nukem Forever,X360,2011,Shooter,take two interactive,0.52,0.25,0.00,0.07,0.83,4.4,"Gearbox Software, 3D Realms",M,low,15,old
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,disney interactive studios,0.60,0.22,0.00,0.01,0.83,5.0,Artificial Mind and Movement,E,low,22,old
FIFA Soccer World Championship,PS2,2000,Sports,electronic arts,0.27,0.21,0.28,0.07,0.83,7.5,unknown,E,low,26,old
NCAA Football 12,PS3,2011,Sports,electronic arts,0.78,0.00,0.00,0.05,0.83,5.8,EA Sports,E,low,15,old
Brute Force,XB,2003,Shooter,microsoft game studios,0.62,0.18,0.01,0.03,0.83,7.8,Digital Anvil,M,low,23,old
Tiger Woods PGA Tour 11,PS3,2010,Sports,electronic arts,0.37,0.33,0.00,0.13,0.83,6.7,EA Sports,E,low,16,old
Yu-Gi-Oh! Dark Duel Stories,GB,2000,Misc,konami digital entertainment,0.00,0.00,0.83,0.00,0.83,7.5,unknown,E,low,26,old
WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,thq,0.44,0.31,0.00,0.08,0.83,8.5,Yuke's,T,low,18,old
The Game of Life,PS,1998,Misc,unknown,0.46,0.31,0.00,0.05,0.83,7.5,unknown,E,low,28,old
Mega Man Legends,PS,1997,Adventure,capcom,0.39,0.26,0.12,0.05,0.83,7.5,unknown,E,low,29,old
Sly 3: Honor Among Thieves,PS2,2005,Platform,sony computer entertainment,0.69,0.03,0.00,0.11,0.83,8.8,Sucker Punch,E10+,low,21,old
MLB SlugFest 20-03,PS2,2007,Sports,unknown,0.41,0.32,0.00,0.11,0.83,8.2,Midway,E,low,19,old
Need for Speed: Nitro,Wii,2009,Racing,electronic arts,0.45,0.30,0.00,0.08,0.83,7.4,EA Montreal,E10+,low,17,old
Street Fighter X Tekken,PS3,2012,Fighting,capcom,0.42,0.21,0.10,0.09,0.83,5.3,Capcom,T,low,14,recent
MediEvil,PS,1998,Platform,sony computer entertainment,0.46,0.31,0.00,0.05,0.83,7.5,unknown,E,low,28,old
Casper,PS,1996,Adventure,interplay,0.46,0.31,0.00,0.05,0.83,7.5,unknown,E,low,30,old
Sid Meier's Civilization Revolution,X360,2008,Strategy,take two interactive,0.58,0.17,0.00,0.07,0.83,7.8,Firaxis Games,E10+,low,18,old
